INFO 2020-10-26 18:48:48,155 登录功能开始
INFO 2020-10-26 19:04:55,907 ---输入用户名---admin
INFO 2020-10-26 19:05:09,134 登录功能开始
INFO 2020-10-26 19:05:09,219 ---输入用户名---admin
INFO 2020-10-26 19:05:09,282 输入密码
INFO 2020-10-26 19:05:09,341 点击登录
INFO 2020-10-26 19:05:09,343 -获取弹出框内容-
INFO 2020-10-26 19:06:06,237 登录功能开始
INFO 2020-10-26 19:06:06,313 ---输入用户名---
INFO 2020-10-26 19:06:19,466 登录功能开始
INFO 2020-10-26 19:06:19,579 ---输入用户名---admin
INFO 2020-10-26 19:07:28,489 登录功能开始
INFO 2020-10-26 19:07:28,563 ---输入用户名---
INFO 2020-10-26 19:07:41,663 登录功能开始
INFO 2020-10-26 19:07:42,039 ---输入用户名---admin
INFO 2020-10-26 19:07:55,085 登录功能开始
INFO 2020-10-26 19:07:55,195 ---输入用户名---
INFO 2020-10-26 19:07:55,275 输入密码
INFO 2020-10-26 19:07:58,338 点击登录
INFO 2020-10-26 19:07:58,341 -获取弹出框内容-
INFO 2020-10-26 19:08:11,504 登录功能开始
INFO 2020-10-26 19:08:11,784 ---输入用户名---admin
INFO 2020-10-26 19:08:24,858 登录功能开始
INFO 2020-10-26 19:08:25,044 ---输入用户名---admin
INFO 2020-10-26 19:08:25,110 输入密码
INFO 2020-10-26 19:08:28,161 点击登录
INFO 2020-10-26 19:08:28,166 -获取弹出框内容-
INFO 2020-10-26 19:11:50,436 登录功能开始
INFO 2020-10-26 19:11:50,567 ---输入用户名---
INFO 2020-10-26 19:12:03,836 登录功能开始
INFO 2020-10-26 19:12:04,164 ---输入用户名---admin
INFO 2020-10-26 19:12:17,360 登录功能开始
INFO 2020-10-26 19:12:17,433 ---输入用户名---
INFO 2020-10-26 19:12:17,504 输入密码
INFO 2020-10-26 19:12:20,571 点击登录
INFO 2020-10-26 19:12:20,573 -获取弹出框内容-
INFO 2020-10-26 19:12:34,118 登录功能开始
INFO 2020-10-26 19:12:34,439 ---输入用户名---admin
INFO 2020-10-26 19:12:48,553 登录功能开始
INFO 2020-10-26 19:12:48,645 ---输入用户名---admin
INFO 2020-10-26 19:12:48,709 输入密码
INFO 2020-10-26 19:12:51,780 点击登录
INFO 2020-10-26 19:12:51,782 -获取弹出框内容-
INFO 2020-10-26 19:13:11,322 登录功能开始
INFO 2020-10-26 19:13:11,478 ---输入用户名---
INFO 2020-10-26 19:13:24,683 登录功能开始
INFO 2020-10-26 19:13:24,740 ---输入用户名---admin
INFO 2020-10-26 19:16:33,490 登录功能开始
INFO 2020-10-26 19:16:33,801 ---输入用户名---
INFO 2020-10-26 19:16:47,488 登录功能开始
INFO 2020-10-26 19:16:47,583 ---输入用户名---admin
INFO 2020-10-26 19:17:14,036 登录功能开始
INFO 2020-10-26 19:17:14,278 ---输入用户名---admin
INFO 2020-10-26 19:18:31,681 登录功能开始
INFO 2020-10-26 19:18:32,276 ---输入用户名---admin
INFO 2020-10-26 19:19:09,022 登录功能开始
INFO 2020-10-26 19:19:09,116 ---输入用户名---
INFO 2020-10-26 19:19:22,243 登录功能开始
INFO 2020-10-26 19:19:22,485 ---输入用户名---admin
INFO 2020-10-26 19:19:35,615 登录功能开始
INFO 2020-10-26 19:19:35,698 ---输入用户名---
INFO 2020-10-26 19:19:35,760 输入密码
INFO 2020-10-26 19:19:38,815 点击登录
INFO 2020-10-26 19:21:20,156 登录功能开始
INFO 2020-10-26 19:21:20,320 ---输入用户名---
INFO 2020-10-26 19:21:33,549 登录功能开始
INFO 2020-10-26 19:21:33,822 ---输入用户名---admin
INFO 2020-10-26 19:21:47,005 登录功能开始
INFO 2020-10-26 19:21:47,116 ---输入用户名---
INFO 2020-10-26 19:21:47,180 输入密码
INFO 2020-10-26 19:21:50,296 点击登录
INFO 2020-10-26 19:21:50,301 -获取弹出框内容-
INFO 2020-10-26 19:22:03,631 登录功能开始
INFO 2020-10-26 19:22:03,886 ---输入用户名---admin
INFO 2020-10-26 19:22:17,051 登录功能开始
INFO 2020-10-26 19:22:17,139 ---输入用户名---admin
INFO 2020-10-26 19:22:17,202 输入密码
INFO 2020-10-26 19:22:20,304 点击登录
INFO 2020-10-26 19:22:20,311 -获取弹出框内容-
